                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.8683,                 1.5157,                0.65845,                 1.0267,                0.80837,                0.78981,                0.79942,                0.56873,                0.78848,                0.76881,                 0.7774,                0.47219,                 1.0754,                 1.9159,                0.88008,                 1.1992,             0.00047015,             0.00047015,             0.00047015
                     25,                0.84185,                 1.4581,                0.64695,                  1.025,                0.84804,                0.76437,                0.81071,                0.57724,                0.82947,                0.74888,                0.78629,                0.48812,                 1.1033,                 1.9146,                 0.8771,                 1.2232,             0.00045365,             0.00045365,             0.00045365
                     26,                0.84356,                 1.4947,                0.64666,                  1.023,                 0.8185,                0.79641,                0.81143,                0.58872,                0.80571,                0.78216,                0.79262,                 0.4881,                 1.0735,                 1.8875,                0.83113,                 1.2062,             0.00043716,             0.00043716,             0.00043716
                     27,                0.84432,                 1.4615,                  0.645,                 1.0237,                0.83601,                0.79561,                0.81653,                 0.5921,                0.80923,                 0.8121,                 0.8082,                0.49631,                 1.0849,                 1.8516,                0.83353,                 1.1943,             0.00042066,             0.00042066,             0.00042066
                     28,                0.83079,                 1.4742,                0.63229,                 1.0148,                0.81453,                0.80398,                0.80599,                0.58505,                0.81812,                0.80483,                0.79914,                0.49795,                  1.061,                  1.829,                0.83225,                  1.197,             0.00040417,             0.00040417,             0.00040417
                     29,                0.83203,                 1.4069,                0.62531,                  1.017,                0.84465,                 0.7968,                 0.8224,                0.59336,                0.82478,                0.78972,                0.80696,                0.49656,                 1.0686,                 1.8849,                0.80939,                 1.2097,             0.00038768,             0.00038768,             0.00038768
                     30,                0.81698,                  1.425,                0.60519,                 1.0049,                0.84446,                0.78509,                0.81892,                0.59249,                0.83429,                0.77103,                 0.8035,                  0.494,                 1.0813,                 1.9244,                0.82922,                 1.2116,             0.00037118,             0.00037118,             0.00037118
                     31,                 0.8091,                 1.4086,                0.60585,                0.99977,                0.82486,                0.81546,                0.81603,                 0.5955,                0.81616,                0.80643,                0.80641,                0.49836,                 1.0584,                 1.8998,                0.81914,                 1.2071,             0.00035469,             0.00035469,             0.00035469
                     32,                0.81663,                 1.4113,                0.60224,                 1.0074,                0.82548,                0.79753,                0.81641,                0.59417,                0.81261,                0.78442,                0.80091,                0.49939,                  1.066,                 1.8456,                0.81605,                 1.1993,              0.0003382,              0.0003382,              0.0003382
                     33,                0.81105,                  1.387,                0.58447,                0.99798,                0.83466,                0.79419,                0.81766,                0.59981,                0.84428,                0.78038,                0.80942,                0.50461,                  1.062,                 1.9079,                0.81099,                 1.1953,              0.0003217,              0.0003217,              0.0003217
